ekran_boyutu,ekran_kartı.1,Ekran Kartı Bellek Tipi.1,ekran_kartı_hafızası_1,ekran_karı_tipi_1,ekran_yenileme_hızı_1,marka,hard_disk_kapasitesi,klavye,kullanım_amacı,ram_sistem_bellegi_1,ram_tipi_1,renk,ssd_kapasitesi,cozunurluk_1,cozunurluk_standartı_1,islemci_modeli_1,islemci_nesli_1,islemci_tipi_1,islemci_cekirdek_sayisi_1,isletim_sistemi_1,url,prices
"13,3",Dahili Ekran Kartı,DDR2,Paylaşımlı,Dahili,120 Hz,Apple,250 GB,Q Türkçe (Aydınlatmalı),Ev - Okul,8 GB,DDR2,Gri,256 GB,2560 x 1600,Retina,Belirtilmemiş,3. Nesil,Apple M1,8,Mac Os,https://www.trendyol.com//apple/macbook-air-m1-cip-8gb-256gb-ssd-macos-13-qhd-tasinabilir-bilgisayar-uzay-grisi-mgn63tu-a-p-68042136?boutiqueId=621707&merchantId=143314,27.899
"15,6",AMD Radeon Graphics,Dahili,Paylaşımlı,Dahili,60 Hz,ACER,HDD Yok,Q Türkçe (Aydınlatmasız),Ev - Okul,8 GB,LPDDR5,Gri,256 GB,1920 x 1080,Full HD (FHD),7320U,7. Nesil,AMD Ryzen 3,4,Free Dos,https://www.trendyol.com//acer/aspire-3-amd-ryzen-3-7320u-8gb-256gb-ssd-dos-15-6-fhd-dizustu-bilgisayar-acer-turkiye-garantili-p-755183026?boutiqueId=623361&merchantId=968,8.999
"15,6",Nvidia GeForce RTX 3050,GDDR6,4 GB,Harici,144 Hz,Casper,HDD Yok,RGB Türkçe,Oyun,32 GB,DDR4,Siyah,1 TB,1920 x 1080,Full HD (FHD),12450H,12. Nesil,Intel Core i5,8,Free Dos,https://www.trendyol.com//casper/excalibur-g770-1245-dfj0x-b-intel-core-i5-12450h-32gb-ram-1tb-nvme-ssd-gen4-4gb-rtx3050-freedos-p-445708761?boutiqueId=61&merchantId=169540,25.749
"15,6",Dahili Ekran Kartı,DDR4,Paylaşımlı,Dahili,60 Hz,Casper,HDD Yok,Q Türkçe (Aydınlatmasız),Oyun,32 GB,DDR4,Gri,500 GB,1920 x 1080,Full HD (FHD),1155G7,11. Nesil,Intel Core i5,4,Free Dos,https://www.trendyol.com//casper/nirvana-x600-1155-dv00x-g-f-intel-core-i5-1155g7-32-gb-ram-500gb-nvme-ssd-gen4-freedos-p-761306309?boutiqueId=61&merchantId=129813&advertItems=eyJhZHZlcnRJZCI6IjNiY2ZhOGZjLWQwOTUtNDE0ZS1hMjc2LWFmODBmNWFkNTdlOCIsInNvcnRpbmdTY29yZSI6MC4wODM4NzYwMzg3MTUyNDMzNSwiYWRTY29yZSI6MC4wNDcwNjg0ODQxMjc1MjE1MTUsImFkU2NvcmVzIjp7IjEiOjAuMDQ3MDY4NDg0MTI3NTIxNTE1LCIyIjowLjA0NzA2ODQ4NDEyNzUyMTUxNX0sImNwYyI6MS43ODIwMDAwMDAwMDAwMDAzLCJtaW5DcGMiOjAuMDEsImVDcGMiOjEuNjQ4NTA1ODEwNDkyNzkzMiwiYWR2ZXJ0U2xvdCI6NCwib3JkZXIiOjE1LCJzZWFyY2hUZXJtIjoibGFwdG9wIiwiYXR0cmlidXRlcyI6IiJ9,14.799
"15,6",Intel Iris Graphics,Dahili,Paylaşımlı,Dahili,60 Hz,Casper,HDD Yok,Q Türkçe + Numerik (Aydınlatmalı),Ofis - İş,32 GB,DDR4,Gümüş,1 TB,1920 x 1080,Full HD (FHD),1255U,12. Nesil,Intel Core i7,10,Free Dos,https://www.trendyol.com//casper/nirvana-c550-1255-df00x-g-f-intel-core-i7-1255u-32gb-ram-1tb-nvme-ssd-gen4-freedos-p-740919267?boutiqueId=61&merchantId=129813,19.999
"15,6",Intel UHD Graphics,DDR4,Paylaşımlı,Dahili,Belirtilmemiş,Asus,256 GB,Q Türkçe,Ev - Okul,4 GB,DDR4,Gri,256 GB,1920 x 1080,Full HD (FHD),1115G4,Belirtilmemiş,Intel Core i3,2,Windows,https://www.trendyol.com//asus/intel-core-i3-1115g4-4gb-ram-256gb-ssd-15-6-fhd-windows-11-gri-laptop-x515ea-bq868w-p-356470217?boutiqueId=61&merchantId=164330,9.0
"15,6",Dahili Ekran Kartı,Dahili,Paylaşımlı,Dahili,60 Hz,Lenovo,HDD Yok,Q Türkçe (Aydınlatmasız),Ofis - İş,16 GB,DDR4,Gri,512 GB,1920 x 1080,Full HD (FHD),7520U,7. Nesil,AMD Ryzen 5,4,Free Dos,https://www.trendyol.com//lenovo/nb-v15-ryzen-5-7520u-16gb-512ssd-freedos-15-6-fhd-tasinabilir-bilgisayar-82yu00qytx-p-742133243?boutiqueId=61&merchantId=514546,11.999
"15,6",AMD Radeon Graphics,Dahili,Paylaşımlı,Dahili,60 Hz,Casper,HDD Yok,Q Türkçe (Aydınlatmasız),Ofis - İş,16 GB,DDR4,Gri,1 TB,1920 x 1080,Full HD (FHD),5700U,5. Nesil,AMD Ryzen 7,8,Free Dos,https://www.trendyol.com//casper/nirvana-x600-5700-bf00x-g-f-amd-ryzen-7-5700u-16gb-1tb-nvme-ssd-15-6-dos-gri-dizustu-bilgisayar-p-780124063?boutiqueId=623361&merchantId=968&advertItems=eyJhZHZlcnRJZCI6IjVmMDJhOTBiLTNiNGEtNDQyZS1iMzhjLThjY2E5OGE2MjhiYiIsInNvcnRpbmdTY29yZSI6MC4wNzY2NTEyOTM5MzMzOTE1OCwiYWRTY29yZSI6MC4wMzUzNzIwNzg0MTg3MzE2OSwiYWRTY29yZXMiOnsiMSI6MC4wMzUzNzIwNzg0MTg3MzE2OSwiMiI6MC4wMzUzNzIwNzg0MTg3MzE2OX0sImNwYyI6Mi4xNjcwMDAwMDAwMDAwMDAzLCJtaW5DcGMiOjAuMDEsImVDcGMiOjIuMTM5MTAyMzQ1MzMzMDg1LCJhZHZlcnRTbG90Ijo1LCJvcmRlciI6MTksInNlYXJjaFRlcm0iOiJsYXB0b3AiLCJhdHRyaWJ1dGVzIjoiIn0=,13.999
"15,6",,,,,,MSI,HDD Yok,Q TÃ¼rkÃ§e (AydÄ±nlatmalÄ±),,,,Siyah,512 GB,,,,,,,,https://www.trendyol.com//msi/thin-gf63-12ucx-427xtr-i5-12450h-8gb-ddr4-rtx2050-gddr6-4gb-512gb-ssd-15-6-fhd-144hz-dos-p-708198686?boutiqueId=61&merchantId=616776,21.899
"15,6",Intel UHD Graphics 600,Belirtilmemiş,Paylaşımlı,Dahili,Belirtilmemiş,Lenovo,128 GB,Q Türkçe,Ofis - İş,4 GB,DDR4,Gri,SSD Yok,1366 x 768,HD Ready (HD),N4120,Belirtilmemiş,Intel Celeron,4,Windows,https://www.trendyol.com//lenovo/ideapad-1-celeron-n4120-4gb-ram-128gb-emmc-15-6-win-11-p-382953334?boutiqueId=61&merchantId=169540,6.849
"15,6",Paylaşımlı,DDR,Paylaşımlı,Dahili,60 Hz,Lenovo,Yok,Q Türkçe,Ev - Okul,8 GB,DDR4,Siyah,512 GB,1920 x 1080,Full HD (FHD),1115G4,11. Nesil,Intel Core i3,2,Free Dos,https://www.trendyol.com//lenovo/v15-g2-itl-i3-1115g4-8gb-512gb-ssd-15-6-fhd-freedos-82kb000ftx-p-271368357?boutiqueId=61&merchantId=109239,10.299
"15,6",Intel UHD Graphics,DDR4,Paylaşımlı,Harici,60 Hz,ACER,HDD Yok,Q İngilizce,Ev - Okul,4 GB,DDR4,Gümüş,128 GB,1920 x 1080,Full HD (FHD),N4000,2. Nesil,Intel Celeron,2,Linux,https://www.trendyol.com//acer/aspire3-intel-celeron-n4500-4gb-128gb-ssd-dos-15-6-gumus-dizustu-bilgisayar-acer-turkiye-garantili-p-656066934?boutiqueId=626264&merchantId=784573,6.699
"17,3",Nvidia GeForce RTX 3050 Ti,GDDR6,4 GB,Harici,,Monster,,Numerik Tuşlu Aydınlatmalı,Oyun,16 GB,,,500 GB,1920 x 1080,Full HD (FHD),11800H,,Intel Core i7,,Free Dos,https://www.trendyol.com//monster/abra-a7-v13-3-3-intel-core-i7-11800h-16gb-500gb-ssd-rtx3050ti-freedos-17-3-fhd-p-133966693?boutiqueId=61&merchantId=105286,27.899
14,Intel UHD Graphics,SD,Paylaşımlı,Dahili,Belirtilmemiş,Dell,HDD Yok,Q Türkçe,Ofis - İş,8 GB,DDR4,Gri,256 GB,1366 x 768,HD Ready (HD),1115G4,11. Nesil,Intel Core i3,2,Free Dos,https://www.trendyol.com//dell/vostro-3400-n4001vn3400u01-i3-1115g4-8gb-256ssd-14-hd-freedos-tasinabilir-bilgisayar-p-446753414?boutiqueId=61&merchantId=106664&advertItems=eyJhZHZlcnRJZCI6IjQwMDJmNTQ4LTRkODItNGVmZS04ODMwLWU0MTRjN2E0YjkzNSIsInNvcnRpbmdTY29yZSI6MC4wNzM2OTgyMjIzOTg3NTc5NCwiYWRTY29yZSI6MC4wMzYwMjA2MzY1NTg1MzI3MTUsImFkU2NvcmVzIjp7IjEiOjAuMDM2MDIwNjM2NTU4NTMyNzE1LCIyIjowLjAzNjAyMDYzNjU1ODUzMjcxNX0sImNwYyI6Mi4wNDYwMDAwMDAwMDAwMDAzLCJtaW5DcGMiOjAuMDEsImVDcGMiOjIuMDQwMTY5NTcwODExOTQ1NCwiYWR2ZXJ0U2xvdCI6Nywib3JkZXIiOjMsInNlYXJjaFRlcm0iOiJsYXB0b3AiLCJhdHRyaWJ1dGVzIjoiIn0=,9.499
17,Nvidia GeForce RTX 4090,GDDR6,16 GB,Harici,240 Hz,MSI,HDD Yok,Q Türkçe (Aydınlatmalı),Oyun,64 GB,DDR5,Siyah,4 TB,2560 x 1600,QHD+,13980HX,13. Nesil,Intel Core i9,24,Windows,https://www.trendyol.com//msi/raider-ge78hx-13vi-036tr-i9-13980hx-64gb-ddr5-4tb-ssd-16-gb-geforce-rtx-4090-17-0-qhd-240hz-w-p-637314424?boutiqueId=61&merchantId=105028,200.0
13,M2 10 Çekirdekli,DDR4,Paylaşımlı,Dahili,120 Hz,Apple,256 GB,Q Türkçe,Ofis - İş,8 GB,DDR4,Gümüş,256 GB,2560 x 1600,Retina,Belirtilmemiş,2. Nesil,Apple M2,8,Mac Os,https://www.trendyol.com//apple/macbook-pro-13-3-inc-m2-cip-8cpu-10gpu-8gb-256gb-ssd-silver-mnep3tu-a-p-335860193?boutiqueId=61&merchantId=169540,39.419
"15,6",Nvidia GeForce MX350,GDDR5,2 GB,Harici,Belirtilmemiş,Lenovo,HDD Yok,Q Türkçe,Oyun,16 GB,DDR4,Siyah,256 GB,1920 x 1080,Full HD (FHD),1135G7,11. Nesil,Intel Core i5,4,Free Dos,https://www.trendyol.com//lenovo/v15-82kb09cntx05-i5-1135g7-16gb-256ssd-mx350-15-6-fullhd-freedos-tasinabilir-bilgisayar-p-375709665?boutiqueId=61&merchantId=106664&advertItems=eyJhZHZlcnRJZCI6IjQwMDJmNTQ4LTRkODItNGVmZS04ODMwLWU0MTRjN2E0YjkzNSIsInNvcnRpbmdTY29yZSI6MC4wNzI3Njc3OTY0NTY4MTM4MiwiYWRTY29yZSI6MC4wMzU1NjU4ODI5MjEyMTg4NywiYWRTY29yZXMiOnsiMSI6MC4wMzU1NjU4ODI5MjEyMTg4NywiMiI6MC4wMzU1NjU4ODI5MjEyMTg4N30sImNwYyI6Mi4wNDYwMDAwMDAwMDAwMDAzLCJtaW5DcGMiOjAuMDEsImVDcGMiOjIuMDE5MTczNDI5MjE4MDU1NiwiYWR2ZXJ0U2xvdCI6OCwib3JkZXIiOjcsInNlYXJjaFRlcm0iOiJsYXB0b3AiLCJhdHRyaWJ1dGVzIjoiIn0=,19.022
"15,6",Nvidia GeForce RTX 4060,GDDR6,8 GB,Harici,144 Hz,Casper,HDD Yok,Q Türkçe (RGB Aydınlatmalı),Oyun,32 GB,DDR4,Gri,1 TB,1920 x 1080,Full HD (FHD),12650H,12. Nesil,Intel Core i7,10,Free Dos,https://www.trendyol.com//casper/excalibur-g870-1265-dqb0x-b-intel-core-i7-12650h-32gb-1tb-nvme-rtx4060-fdos-p-776821201?boutiqueId=61&merchantId=114258,35.999
"15,6",Intel UHD Graphics,Dahili,Paylaşımlı,Dahili,60 Hz,Casper,HDD Yok,Q Türkçe + Numerik (Aydınlatmasız),Ofis - İş,16 GB,DDR4,Gri,1 TB,1920 x 1080,Full HD (FHD),1115G4,11. Nesil,Intel Core i3,2,Free Dos,https://www.trendyol.com//casper/nirvana-c500-1115-bf00x-g-f-intel-core-i3-1115g4-16gb-ram-1tb-ssd-gen4-freedos-p-445476720?boutiqueId=61&merchantId=129813,12.699
"15,6",Intel Iris Graphics,Dahili,Paylaşımlı,Dahili,60 Hz,Casper,HDD Yok,Q Türkçe (Aydınlatmasız),Ofis - İş,16 GB,DDR4,Gri,500 GB,1920 x 1080,Full HD (FHD),11390H,11. Nesil,Intel Core i7,4,Free Dos,https://www.trendyol.com//casper/nirvana-x600-139h-bv00x-g-f-intel-core-i7-11390h-16-gb-ram-500gb-nvme-ssd-gen4-freedos-p-773800333?boutiqueId=623361&merchantId=968&advertItems=eyJhZHZlcnRJZCI6IjdkMmE3Yzk0LTMyMzUtNDA0MS1hMGRmLTIzNDAzYTYyZDIxNCIsInNvcnRpbmdTY29yZSI6MC4wNzExMDIzNjcyODE5MTM3NywiYWRTY29yZSI6MC4wMzUzMjE1OTMyODQ2MDY5MzQsImFkU2NvcmVzIjp7IjEiOjAuMDM1MzIxNTkzMjg0NjA2OTM0LCIyIjowLjAzNTMyMTU5MzI4NDYwNjkzNH0sImNwYyI6Mi4wMTMwMDAwMDAwMDAwMDAzLCJtaW5DcGMiOjAuMDEsImVDcGMiOjIuMDA0NDEyMzIyNzg3MzkyNywiYWR2ZXJ0U2xvdCI6OSwib3JkZXIiOjExLCJzZWFyY2hUZXJtIjoibGFwdG9wIiwiYXR0cmlidXRlcyI6IiJ9,14.955
"15,6",Nvidia GeForce RTX 4050,GDDR6,6 GB,Harici,144 Hz,Asus,HDD Yok,Q Türkçe (Aydınlatmalı),Oyun,8 GB,DDR5,Gri,512 GB,1920 x 1080,Full HD (FHD),7735HS,7. Nesil,AMD Ryzen 7,8,Free Dos,https://www.trendyol.com//asus/tuf-gaming-a15-fa507nu-lp053-amd-r7-7735hs-8gb-512gb-ssd-rtx4050-144-hz-dos-15-6-fhd-p-654338236?boutiqueId=61&merchantId=169540,29.896
"15,6",Intel UHD Graphics,Dahili,Paylaşımlı,Dahili,60 Hz,Asus,HDD Yok,Q Türkçe + Numerik (Aydınlatmasız),Ofis - İş,8 GB,DDR4,Lacivert,512 GB,1920 x 1080,Full HD (FHD),1235U,12. Nesil,Intel Core i5,10,Free Dos,https://www.trendyol.com//asus/vivobook-15-intel-core-i5-1235u-8gb-512gb-ssd-15-6-fhd-ips-dos-lacivert-laptop-x1504za-bq322-p-762266568?boutiqueId=61&merchantId=110963,13.184
"15,6",Nvidia GeForce RTX 4060,GDDR6,8 GB,Harici,144 Hz,Casper,HDD Yok,Q Türkçe + Numerik (RGB Aydınlatmalı),Oyun,64 GB,DDR4,Gri,1 TB,1920 x 1080,Full HD (FHD),12650H,12. Nesil,Intel Core i7,10,Free Dos,https://www.trendyol.com//casper/excalibur-g870-1265-efb0x-b-intel-core-i7-12650h-64gb-ram-1tb-nvme-ssd-8gb-rtx4060-freedos-p-672161676?boutiqueId=61&merchantId=114258&advertItems=eyJhZHZlcnRJZCI6ImE2ODU1YjVjLWIyMWEtNDJmMy04NDU3LWRhZGFjNjkyYzUwYyIsInNvcnRpbmdTY29yZSI6MC4wNzAwOTI2MDIzMTI1NjQ4NSwiYWRTY29yZSI6MC4wMzkzMzM2NzEzMzE0MDU2NCwiYWRTY29yZXMiOnsiMSI6MC4wMzkzMzM2NzEzMzE0MDU2NCwiMiI6MC4wMzkzMzM2NzEzMzE0MDU2NH0sImNwYyI6MS43ODIwMDAwMDAwMDAwMDAzLCJtaW5DcGMiOjAuMDEsImVDcGMiOjEuNzExNDQ3MjQ0MDA0MDk0NiwiYWR2ZXJ0U2xvdCI6MTAsIm9yZGVyIjoxNSwic2VhcmNoVGVybSI6ImxhcHRvcCIsImF0dHJpYnV0ZXMiOiIifQ==,37.999
"15,6",AMD Radeon Graphics,DDR4,Paylaşımlı,Dahili,60 Hz,Lenovo,HDD Yok,Q Türkçe (Aydınlatmasız),Ofis - İş,8 GB,DDR4,Gri,512 GB,1920 x 1080,Full HD (FHD),7520U,7. Nesil,AMD Ryzen 5,4,Free Dos,https://www.trendyol.com//lenovo/ip1-15amn7-amd-ryzen-5-7520u-8gb-512gb-ssd-freedos-15-6-fhd-82vg008ctx-p-740959403?boutiqueId=61&merchantId=169540,10.929
"15,6",Nvidia GeForce RTX 2050,GDDR6,4 GB,Harici,144 Hz,Asus,HDD Yok,Q Türkçe (Aydınlatmasız),Oyun,8 GB,DDR4,Siyah,512 GB,1920 x 1080,Full HD (FHD),11400H,11. Nesil,Intel Core i5,6,Free Dos,https://www.trendyol.com//asus/tuf-gaming-f15-fx506hf-hn028-i5-11400h-8gb-ram-512gb-ssd-4gb-rtx2050-15-6-inc-fhd-144hz-p-661881677?boutiqueId=61&merchantId=481559,24.75
"15,6",AMD Radeon Graphics,SD,Paylaşımlı,Dahili,120 Hz,Dell,HDD Yok,Q Türkçe,Ofis - İş,32 GB,DDR4,Gri,512 GB,1920 x 1080,Full HD (FHD),5825U,5. Nesil,AMD Ryzen 7,8,Free Dos,https://www.trendyol.com//dell/inspiron-15-3525-i3525106u06-ryzen7-5825u-32gb-512ssd-15-6-fullhd-freedos-tasinabilir-bilgisay-p-458041618?boutiqueId=61&merchantId=106664&advertItems=eyJhZHZlcnRJZCI6IjQwMDJmNTQ4LTRkODItNGVmZS04ODMwLWU0MTRjN2E0YjkzNSIsInNvcnRpbmdTY29yZSI6MC4wNjY1MzA4MjgzMTk0ODk5NiwiYWRTY29yZSI6MC4wMzI1MTc1MTEzOTc2MDAxNzQsImFkU2NvcmVzIjp7IjEiOjAuMDMyNTE3NTExMzk3NjAwMTc0LCIyIjowLjAzMjUxNzUxMTM5NzYwMDE3NH0sImNwYyI6Mi4wNDYwMDAwMDAwMDAwMDAzLCJtaW5DcGMiOjAuMDEsImVDcGMiOjIuMDE3NDYwMjkxMjk4MDQ4LCJhZHZlcnRTbG90IjoxMSwib3JkZXIiOjE5LCJzZWFyY2hUZXJtIjoibGFwdG9wIiwiYXR0cmlidXRlcyI6IiJ9,17.799
14,Intel UHD Graphics,Dahili,Paylaşımlı,Dahili,60 Hz,Lenovo,512 GB,Q Türkçe (Aydınlatmasız),Ofis - İş,8 GB,LPDDR5,Gri,512 GB,1920 x 1080,Full HD (FHD),12450H,12. Nesil,Intel Core i5,8,Free Dos,https://www.trendyol.com//lenovo/ideapad-3-slim-case-intel-core-i5-12450h-8gb-512gb-ssd-freedos-14-inc-83eq000atr-p-780566121?boutiqueId=61&merchantId=118352,13.229
"15,6",Intel Iris Graphics,Belirtilmemiş,Paylaşımlı,Dahili,Belirtilmemiş,Huawei,512 GB,Q Türkçe,Ofis - İş,8 GB,LPDDR4X,Gümüş,512 GB,1920 x 1080,Full HD (FHD),1155G7,11. Nesil,Intel Core i5,4,Windows,https://www.trendyol.com//huawei/matebook-d15-i5-1155g7-islemci-8gb-ram-512gb-ssd-15-6-inc-win-11-laptop-mistik-gumus-p-654281247?boutiqueId=61&merchantId=514600,16.699
"13,6",,,,,,Apple,250 GB,Q TÃ¼rkÃ§e (AydÄ±nlatmasÄ±z),,,,SarÄ±,256 GB,,,,,,,,https://www.trendyol.com//apple/macbook-air-13-6-m2-8c-gpu-8-gb-256-gb-ssd-yildiz-isigi-p-334546082?boutiqueId=619850&merchantId=968,35.499
