Arttırılabilir Azami Bellek,Bağlantılar,Bağlantılar,Bağlantılar (İkincil),Cihaz Ağırlığı,Dokunmatik Ekran,Ekran Boyutu,Ekran Kartı,Ekran Kartı Bellek Tipi,Ekran Kartı Hafızası,Ekran Kartı Tipi,Ekran Kartı,Ekran Kartı Bellek Tipi,Ekran Kartı Hafızası,Ekran Kartı Tipi,Ekran Yenileme Hızı,Ekran Yenileme Hızı,Ekran Özelliği,Garanti Süresi,Garanti Süresi,Garanti Tipi,Görüntü Kalitesi,HDMI,Hard Disk Kapasitesi,Kapasite,Klavye,Kullanım Amacı,Kullanım Amacı,Maksimum islemci Hızı (GHz),Maksimum İşlemci Hızı (GHz).1,Okula Dönüş,Optik Sürücü Tipi,Optik Sürücü Tipi.1,Panel Tipi,Ram (Sistem Belleği),Ram (Sistem Belleği) Tipi,Ram (Sistem Belleği),Ram (Sistem Belleği) Tipi,Renk,SSD Kapasitesi,SSD Teknolojisi,Soket Tipi,Temel işlemci Hızı (GHz),Temel İşlemci Hızı (GHz),çözünürlük,çözünürlük Standartı,işlemci Modeli,işlemci Nesli,işlemci Tipi,işlemci çekirdek Sayısı,işletim Sistemi,şarjlı Kullanım Süresi,Çözünürlük.1,Çözünürlük Standartı.1,İşlemci Frekansı.1,İşlemci Modeli.1,İşlemci Nesli.1,İşlemci Tipi.1,İşlemci Çekirdek Sayısı.1,İşletim Sistemi.1,Şarjlı Kullanım Süresi.1,url,prices
,,,Bluetooth,,,2 kg ve Altı,Yok,"13,3 inç",,,,,Dahili Ekran Kartı,DDR2,Paylaşımlı,Dahili,,120 Hz,,,2 Yıl,Apple Türkiye Garantili,,,250 GB,,Q Türkçe (Aydınlatmalı),,Ev - Okul,,,,,,,,,8 GB,DDR2,Gri,256 GB,,,,Belirtilmemiş,,,,,,,,,2560 x 1600,Retina,,Belirtilmemiş,3. Nesil,Apple M1,8,Mac Os,,https://www.trendyol.com//apple/macbook-air-m1-cip-8gb-256gb-ssd-macos-13-qhd-tasinabilir-bilgisayar-uzay-grisi-mgn63tu-a-p-68042136?boutiqueId=621707&merchantId=143314,27.899 TL
,,,USB - Bluetooth - HDMI,,,2 kg ve Altı,Yok,"15,6 inç",,,,,AMD Radeon Graphics,Dahili,Paylaşımlı,Dahili,,60 Hz,,,2 Yıl,ACER Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmasız),,Ev - Okul,,,,,,,,,8 GB,LPDDR5,Gri,256 GB,,,,,,,,,,,,,1920 x 1080,Full HD (FHD),,7320U,7. Nesil,AMD Ryzen 3,4,Free Dos,,https://www.trendyol.com//acer/aspire-3-amd-ryzen-3-7320u-8gb-256gb-ssd-dos-15-6-fhd-dizustu-bilgisayar-acer-turkiye-garantili-p-755183026?boutiqueId=623361&merchantId=968,8.999 TL
,,,Bluetooth,,,2 - 4 kg,Yok,"15,6 inç",,,,,Nvidia GeForce RTX 3050,GDDR6,4 GB,Harici,,144 Hz,,,2 Yıl,Casper Türkiye Garantili,,,HDD Yok,,RGB Türkçe,,Oyun,,4.4,,,Yok,IPS,,,32 GB,DDR4,Siyah,1 TB,,,,2,,,,,,,,,1920 x 1080,Full HD (FHD),,12450H,12. Nesil,Intel Core i5,8,Free Dos,,https://www.trendyol.com//casper/excalibur-g770-1245-dfj0x-b-intel-core-i5-12450h-32gb-ram-1tb-nvme-ssd-gen4-4gb-rtx3050-freedos-p-445708761?boutiqueId=61&merchantId=169540,25.749 TL
,,,USB - Bluetooth - HDMI,,,2 kg ve Altı,Yok,"15,6 inç",,,,,Dahili Ekran Kartı,DDR4,Paylaşımlı,Dahili,,60 Hz,,,2 Yıl,Casper Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmasız),,Oyun,,,,,,Full HD,,,32 GB,DDR4,Gri,500 GB,,,,,,,,,,,,,1920 x 1080,Full HD (FHD),,1155G7,11. Nesil,Intel Core i5,4,Free Dos,,https://www.trendyol.com//casper/nirvana-x600-1155-dv00x-g-f-intel-core-i5-1155g7-32-gb-ram-500gb-nvme-ssd-gen4-freedos-p-761306309?boutiqueId=61&merchantId=129813&advertItems=eyJhZHZlcnRJZCI6IjNiY2ZhOGZjLWQwOTUtNDE0ZS1hMjc2LWFmODBmNWFkNTdlOCIsInNvcnRpbmdTY29yZSI6MC4wODM4NzYwMzg3MTUyNDMzNSwiYWRTY29yZSI6MC4wNDcwNjg0ODQxMjc1MjE1MTUsImFkU2NvcmVzIjp7IjEiOjAuMDQ3MDY4NDg0MTI3NTIxNTE1LCIyIjowLjA0NzA2ODQ4NDEyNzUyMTUxNX0sImNwYyI6MS43ODIwMDAwMDAwMDAwMDAzLCJtaW5DcGMiOjAuMDEsImVDcGMiOjEuNjQ4NTA1ODEwNDkyNzkzMiwiYWR2ZXJ0U2xvdCI6NCwib3JkZXIiOjE1LCJzZWFyY2hUZXJtIjoibGFwdG9wIiwiYXR0cmlidXRlcyI6IiJ9,14.799 TL
,,,USB - Bluetooth - HDMI,,,2 kg ve Altı,Yok,"15,6 inç",,,,,Intel Iris Graphics,Dahili,Paylaşımlı,Dahili,,60 Hz,,,2 Yıl,Casper Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (Aydınlatmalı),,Ofis - İş,,4.7,,,,IPS,,,32 GB,DDR4,Gümüş,1 TB,Gen 4,,,,,,,,,,,,1920 x 1080,Full HD (FHD),,1255U,12. Nesil,Intel Core i7,10,Free Dos,,https://www.trendyol.com//casper/nirvana-c550-1255-df00x-g-f-intel-core-i7-1255u-32gb-ram-1tb-nvme-ssd-gen4-freedos-p-740919267?boutiqueId=61&merchantId=129813,19.999 TL
,,,,,,2 kg ve Altı,Yok,"15,6 inç",,,,,Intel UHD Graphics,DDR4,Paylaşımlı,Dahili,,Belirtilmemiş,,,2 Yıl,Asus Distribütör Garantili,,,256 GB,,Q Türkçe,,Ev - Okul,,,,,Yok,,,,4 GB,DDR4,Gri,256 GB,,,,,,,,,,,,,1920 x 1080,Full HD (FHD),,1115G4,Belirtilmemiş,Intel Core i3,2,Windows,,https://www.trendyol.com//asus/intel-core-i3-1115g4-4gb-ram-256gb-ssd-15-6-fhd-windows-11-gri-laptop-x515ea-bq868w-p-356470217?boutiqueId=61&merchantId=164330,9.000 TL
,,,Bluetooth,,,2 kg ve Altı,Yok,"15,6 inç",,,,,Dahili Ekran Kartı,Dahili,Paylaşımlı,Dahili,,60 Hz,,,2 Yıl,Lenovo Distribütör Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmasız),,Ofis - İş,,,,,,,,,16 GB,DDR4,Gri,512 GB,,,,,,,,,,,,,1920 x 1080,Full HD (FHD),,7520U,7. Nesil,AMD Ryzen 5,4,Free Dos,,https://www.trendyol.com//lenovo/nb-v15-ryzen-5-7520u-16gb-512ssd-freedos-15-6-fhd-tasinabilir-bilgisayar-82yu00qytx-p-742133243?boutiqueId=61&merchantId=514546,11.999 TL
,,,USB - Bluetooth - HDMI,,,2 kg ve Altı,Yok,"15,6 inç",,,,,AMD Radeon Graphics,Dahili,Paylaşımlı,Dahili,,60 Hz,,,2 Yıl,Casper Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmasız),,Ofis - İş,,,,,,,,,16 GB,DDR4,Gri,1 TB,,,,,,,,,,,,,1920 x 1080,Full HD (FHD),,5700U,5. Nesil,AMD Ryzen 7,8,Free Dos,,https://www.trendyol.com//casper/nirvana-x600-5700-bf00x-g-f-amd-ryzen-7-5700u-16gb-1tb-nvme-ssd-15-6-dos-gri-dizustu-bilgisayar-p-780124063?boutiqueId=623361&merchantId=968&advertItems=eyJhZHZlcnRJZCI6IjVmMDJhOTBiLTNiNGEtNDQyZS1iMzhjLThjY2E5OGE2MjhiYiIsInNvcnRpbmdTY29yZSI6MC4wNzY2NTEyOTM5MzMzOTE1OCwiYWRTY29yZSI6MC4wMzUzNzIwNzg0MTg3MzE2OSwiYWRTY29yZXMiOnsiMSI6MC4wMzUzNzIwNzg0MTg3MzE2OSwiMiI6MC4wMzUzNzIwNzg0MTg3MzE2OX0sImNwYyI6Mi4xNjcwMDAwMDAwMDAwMDAzLCJtaW5DcGMiOjAuMDEsImVDcGMiOjIuMTM5MTAyMzQ1MzMzMDg1LCJhZHZlcnRTbG90Ijo1LCJvcmRlciI6MTksInNlYXJjaFRlcm0iOiJsYXB0b3AiLCJhdHRyaWJ1dGVzIjoiIn0=,13.999 TL
,,USB,,,2 kg ve AltÄ±,,Yok,"15,6 inÃ§",Nvidia GeForce RTX 2050,GDDR6,4 GB,Harici,,,,,144 Hz,,,2 YÄ±l,,MSI TÃ¼rkiye Garantili,,,HDD Yok,,Q TÃ¼rkÃ§e (AydÄ±nlatmalÄ±),Oyun,,,,,,,IPS,8 GB,DDR4,,,Siyah,512 GB,,,,,1920 x 1080,Full HD (FHD),12450H,12. Nesil,Intel Core i5,4,Free Dos,,,,,,,,,,,https://www.trendyol.com//msi/thin-gf63-12ucx-427xtr-i5-12450h-8gb-ddr4-rtx2050-gddr6-4gb-512gb-ssd-15-6-fhd-144hz-dos-p-708198686?boutiqueId=61&merchantId=616776,21.899 TL
,,,HDMI,,,2 kg ve Altı,Yok,"15,6 inç",,,,,Intel UHD Graphics 600,Belirtilmemiş,Paylaşımlı,Dahili,,Belirtilmemiş,,,2 Yıl,Lenovo Distribütör Garantili,,,128 GB,,Q Türkçe,,Ofis - İş,,,,,Yok,,,,4 GB,DDR4,Gri,SSD Yok,,,,,,,,,,,,,1366 x 768,HD Ready (HD),,N4120,Belirtilmemiş,Intel Celeron,4,Windows,,https://www.trendyol.com//lenovo/ideapad-1-celeron-n4120-4gb-ram-128gb-emmc-15-6-win-11-p-382953334?boutiqueId=61&merchantId=169540,6.849 TL
